weight,horsepower,torque,transmission,body style,drive train,quarter mile,0-60
2524.0,450.0,600.0,2,0,2,15.2 s @ 107.5 mph,5.4
2222.0,340.0,800.0,2,0,2,14.9 s @ 99.4 mph,5.9
2454.0,310.0,410.0,2,0,2,15.7 s @ 89.0 mph,7.5
2439.0,224.0,500.0,2,0,2,15.9 s @ 84.5 mph,7.8
2045.0,286.0,600.0,2,0,2,14.1 s @ 94.8 mph,5.8
2189.0,241.0,310.0,2,0,2,17.2 s,9.8
2360.0,280.0,360.0,2,0,2,15.8 s @ 87.0 mph,7.6
2602.0,313.0,750.0,2,0,2,16.5 s @ 93.8 mph,7.3
2602.0,351.0,850.0,2,0,2,15.1 s,6.0
2240.0,379.0,550.0,2,0,2,,6.3
1578.0,200.0,280.0,1,0,2,15.5 s @ 91.0 mph,7.1
1471.0,160.0,249.0,2,0,0,15.8 s @ 87.0 mph,7.4
1523.0,300.0,400.0,3,0,2,12.7 s,4.5
930.0,129.0,165.0,1,2,0,17.1 s @ 90.7 mph,7.4
1298.0,211.0,280.0,1,6,0,15.0 s,6.2
1298.0,200.0,280.0,1,6,0,14.7 s,6.0
1406.0,184.0,380.0,1,2,0,16.9 s @ 99.4 mph,6.9
1271.0,160.0,240.0,1,6,0,16.6 s @ 93.8 mph,7.4
882.0,49.0,79.0,1,2,0,20.5 s @ 65.6 mph,16.8
1235.0,179.0,235.0,1,2,0,15.6 s,6.9
1194.0,179.0,250.0,3,2,0,14.9 s,6.1
1139.0,150.0,220.0,1,2,0,15.6 s,7.0
1319.0,207.0,320.0,3,2,0,14.4 s @ 98.8 mph,5.9
1273.0,200.0,320.0,3,2,0,14.3 s @ 97.3 mph,5.9
840.0,113.0,150.0,1,2,0,17.5 s @ 89.5 mph,8.0
1015.0,105.0,250.0,1,2,0,18.7 s @ 86.4 mph,9.4
1051.0,105.0,175.0,3,2,0,18.4 s @ 87.0 mph,9.0
2356.0,420.0,550.0,2,5,2,14.0 s @ 101.3 mph,5.5
2273.0,334.0,430.0,2,5,2,15.1 s @ 94.0 mph,6.5
2133.0,239.0,500.0,2,5,2,16.9 s @ 92.6 mph,7.8
1730.0,275.0,370.0,1,5,2,14.5 s @ 95.1 mph,6.4
1493.0,200.0,280.0,1,4,0,15.8 s,7.2
1487.0,170.0,350.0,1,4,0,17.3 s @ 91.3 mph,8.3
1715.0,299.0,350.0,3,4,2,14.4 s,5.4
1715.0,300.0,350.0,1,5,2,13.7 s @ 100.0 mph,5.2
1498.0,170.0,225.0,2,5,0,16.1 s @ 89.5 mph,7.6
1632.0,299.0,350.0,3,5,2,14.0 s,5.6
1630.0,170.0,350.0,1,5,0,17.3 s @ 92.0 mph,8.3
1568.0,284.0,350.0,3,5,0,14.2 s @ 101.3 mph,5.7
1612.0,211.0,280.0,1,4,0,15.5 s,6.8
1571.0,140.0,320.0,1,4,0,,10.0
1379.0,140.0,320.0,1,5,0,18.2 s @ 87.6 mph,8.7
2274.0,174.0,400.0,1,1,0,19.9 s @ 82.6 mph,10.9
975.0,125.0,152.0,1,2,0,17.8 s @ 88.9 mph,8.9
793.0,39.0,87.0,1,2,1,22.2 s @ 58.0 mph,23.7
730.0,30.0,75.0,1,2,1,23.2 s,28.0
1052.0,139.0,168.0,1,5,0,16.2 s,8.1
1495.0,200.0,280.0,3,5,0,15.1 s @ 93.0 mph,6.4
1406.0,172.0,240.0,1,5,0,16.6 s @ 86.0 mph,8.2
1486.0,140.0,320.0,3,5,0,16.4 s @ 83.6 mph,8.4
1378.0,172.0,249.0,1,5,0,15.8 s @ 91.0 mph,7.2
1144.0,90.0,145.0,1,5,0,17.8 s @ 78.0 mph,10.3
1180.0,174.0,235.0,1,2,0,15.3 s,6.9
1382.0,204.0,270.0,1,2,2,14.9 s,6.6
1539.0,271.0,350.0,3,3,2,15.7 s @ 105.6 mph,6.0
1401.0,300.0,380.0,3,2,2,12.9 s,5.2
1419.0,290.0,380.0,3,2,0,13.4 s,5.2
1123.0,160.0,225.0,1,2,0,17.0 s @ 92.0 mph,7.8
1332.0,230.0,300.0,1,2,0,14.8 s,5.9
936.0,112.0,159.0,1,2,0,16.5 s,8.3
1154.0,150.0,180.0,1,2,0,16.1 s,8.1
1021.0,129.0,168.0,1,2,0,18.0 s @ 88.2 mph,8.5
840.0,112.0,153.0,1,2,0,17.5 s @ 89.5 mph,8.1
1213.0,180.0,235.0,1,2,0,15.4 s,7.3
1351.0,220.0,350.0,3,2,0,14.6 s @ 99.7 mph,5.6
1443.0,203.0,281.0,3,2,0,14.5 s @ 97.1 mph,6.0
1318.0,211.0,280.0,1,2,0,14.5 s @ 100.0 mph,5.8
1580.0,245.0,400.0,3,2,0,14.9 s,6.2
1351.0,170.0,350.0,1,2,0,16.4 s,7.5
999.0,103.0,149.0,1,2,1,,10.0
1333.0,172.0,240.0,1,2,0,16.0 s @ 88.0 mph,7.6
1281.0,140.0,320.0,1,2,0,16.2 s,8.7
1268.0,170.0,350.0,1,2,0,15.3 s,7.3
1217.0,150.0,200.0,1,2,0,15.8 s,8.4
1327.0,150.0,250.0,1,2,0,16.2 s,7.7
1216.0,122.0,200.0,3,2,0,17.4 s,8.8
1286.0,160.0,240.0,3,2,0,16.2 s @ 94.4 mph,7.1
